Batch 4 - 2021,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
A,SLTN_BLNK,SLTN_BLNK,SLTN_BLNK,302-0,302-0,302-0,306-15,306-15,306-15,314-15,314-15,314-15
B,0.05mM,0.05mM,0.05mM,302-15,302-15,302-15,308-0,308-0,308-0,315-0,315-0,315-0
C,0.1mM,0.1mM,0.1mM,303-0,303-0,303-0,308-15,308-15,308-15,503-15,503-15,503-15
D,0.15mM,0.15mM,0.15mM,303-15,303-15,303-15,310-0,310-0,310-0,504-15,504-15,504-15
E,0.2mM,0.2mM,0.2mM,304-0,304-0,304-0,310-15,310-15,310-15,505-0,505-0,505-0
F,DDI_BLNK,DDI_BLNK,DDI_BLNK,304-15,304-15,304-15,312-0,312-0,312-0,506-0,506-0,506-0
G,0.2mM,0.2mM,0.2mM,305-0,305-0,305-0,312-15,312-15,312-15,506-15,506-15,506-15
H,308-0,308-0,308-0,306-0,306-0,306-0,314-0,314-0,314-0,Soil_STD,Soil_STD,Soil_STD
