Batch 5 - 2021,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
A,SLTN_BLNK,SLTN_BLNK,SLTN_BLNK,202-0,202-0,202-0,208-0,208-0,208-0,213-0,213-0,213-0
B,0.05mM,0.05mM,0.05mM,202-15,202-15,202-15,208-15,208-15,208-15,213-15,213-15,213-15
C,0.1mM,0.1mM,0.1mM,203-0,203-0,203-0,209-0,209-0,209-0,215-0,215-0,215-0
D,0.15mM,0.15mM,0.15mM,203-14,203-14,203-14,210-15,210-15,210-15,309-0,309-0,309-0
E,0.2mM,0.2mM,0.2mM,204-0,204-0,204-0,211-0,211-0,211-0,311-15,311-15,311-15
F,DDI_BLNK,DDI_BLNK,DDI_BLNK,204-15,204-15,204-15,211-15,211-15,211-15,315-15,315-15,315-15
G,0.1mM,0.1mM,0.1mM,205-15,205-15,205-15,212-0,212-0,212-0,402-0,402-0,402-0
H,204-15,204-15,204-15,207-0,207-0,207-0,212-15,212-15,212-15,Soil_STD,Soil_STD,Soil_STD
