Batch 2 - 2020 reruns,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
A,SLTN_BLNK,SLTN_BLNK,SLTN_BLNK,314,314,314,216,216,216,201,201,201
B,0.05mM,0.05mM,0.05mM,315,315,315,310,310,310,205,205,205
C,0.1mM,0.1mM,0.1mM,407,407,407,213,213,213,208,208,208
D,0.15mM,0.15mM,0.15mM,404,404,404,214,214,214,209,209,209
E,0.2mM,0.2mM,0.2mM,502,502,502,215,215,215,105,105,105
F,DDI_BLNK,DDI_BLNK,DDI_BLNK,115,115,115,311,311,311,107,107,107
G,Soil_STD1,Soil_STD1,Soil_STD1,207,207,207,515,515,515,114,114,114
H,Soil_STD2,Soil_STD2,Soil_STD2,211,211,211,109,109,109,112,112,112
