Batch 3 - 2021,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
A,SLTN_BLNK,SLTN_BLNK,SLTN_BLNK,401-0,401-0,401-0,410-0,410-0,410-0,415-0,415-0,415-0
B,0.05mM,0.05mM,0.05mM,406-0,406-0,406-0,410-15,410-15,410-15,415-15,415-15,415-15
C,0.1mM,0.1mM,0.1mM,406-15,406-15,406-15,411-0,411-0,411-0,416-0,416-0,416-0
D,0.15mM,0.15mM,0.15mM,407-0,407-0,407-0,411-15,411-15,411-15,416-15,416-15,416-15
E,0.2mM,0.2mM,0.2mM,407-15,407-15,407-15,412-15,412-15,412-15,501-0,501-0,501-0
F,DDI_BLNK,DDI_BLNK,DDI_BLNK,408-0,408-0,408-0,413-0,413-0,413-0,502-30,502-30,502-30
G,411-0,411-0,411-0,408-15,408-15,408-15,413-15,413-15,413-15,504-0,504-0,504-0
H,502-15,502-15,502-15,409-0,409-0,409-0,414-15,414-15,414-15,Soil_STD,Soil_STD,Soil_STD
