...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.439,0.427,0.426,0.328,0.328,0.321,0.308,0.311,0.303,0.322,0.324,0.328
B,0.142,0.139,0.139,0.323,0.325,0.329,0.324,0.322,0.323,0.324,0.32,0.328
C,0.216,0.221,0.222,0.319,0.322,0.318,0.313,0.317,0.322,0.308,0.31,0.308
D,0.307,0.306,0.308,0.338,0.338,0.337,0.314,0.313,0.315,0.306,0.303,0.302
E,0.392,0.396,0.396,0.311,0.312,0.307,0.318,0.322,0.322,0.313,0.314,0.314
F,0.043,0.044,0.043,0.314,0.312,0.313,0.314,0.31,0.312,0.291,0.295,0.294
G,0.131,0.131,0.13,0.311,0.308,0.307,0.295,0.297,0.296,0.291,0.295,0.289
H,0.319,0.316,0.323,0.052,0.045,0.047,0.049,0.046,0.047,0.046,0.048,0.051
