...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.459,0.46,0.453,0.293,0.291,0.289,0.296,0.294,0.296,0.25,0.25,0.251
B,0.147,0.142,0.142,0.257,0.254,0.262,0.338,0.338,0.341,0.338,0.341,0.341
C,0.235,0.238,0.235,0.329,0.332,0.329,0.278,0.28,0.28,0.274,0.274,0.276
D,0.33,0.332,0.328,0.244,0.245,0.248,0.334,0.338,0.335,0.32,0.32,0.314
E,0.432,0.431,0.43,0.314,0.311,0.309,0.32,0.318,0.315,0.285,0.284,0.287
F,0.034,0.035,0.034,0.265,0.264,0.264,0.269,0.271,0.27,0.329,0.329,0.331
G,0.269,0.268,0.266,0.338,0.342,0.34,0.316,0.315,0.319,0.275,0.272,0.274
H,0.327,0.326,0.329,0.277,0.278,0.278,0.327,0.324,0.326,0.279,0.285,0.281
