...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.46,0.452,0.452,0.257,0.257,0.255,0.312,0.312,0.313,0.317,0.318,0.322
B,0.148,0.146,0.145,0.297,0.295,0.297,0.269,0.272,0.274,0.262,0.264,0.262
C,0.245,0.242,0.241,0.249,0.252,0.251,0.319,0.323,0.323,0.311,0.312,0.319
D,0.353,0.346,0.347,0.306,0.306,0.305,0.275,0.273,0.289,0.301,0.31,0.303
E,0.442,0.438,0.448,0.243,0.242,0.242,0.297,0.298,0.296,0.271,0.272,0.271
F,0.041,0.039,0.038,0.285,0.285,0.286,0.271,0.272,0.274,0.27,0.265,0.262
G,0.445,0.441,0.443,0.273,0.272,0.273,0.314,0.313,0.311,0.345,0.339,0.343
H,0.269,0.269,0.269,0.268,0.27,0.272,0.284,0.287,0.29,0.273,0.273,0.277
